id_complex_composition,complex_multidata_id,protein_multidata_id,total_protein
0,1355,1134,1
1,1356,1175,1
2,1357,1167,1
3,1358,1105,1
4,1359,1151,1
5,1360,1174,1
6,1361,1172,1
7,1362,1162,1
8,1363,1165,1
9,1364,1113,1
10,1365,1144,1
11,1366,1152,1
12,1367,1073,1
13,1368,881,1
14,1369,1176,1
15,1370,296,3
16,1370,1104,3
17,1370,405,3
18,1371,1110,1
19,1372,801,2
20,1372,736,2
21,1373,529,3
22,1373,382,3
23,1373,505,3
24,1374,529,2
25,1374,512,2
26,1375,529,3
27,1375,512,3
28,1375,505,3
29,1376,610,2
30,1376,382,2
31,1377,802,3
32,1377,610,3
33,1377,736,3
34,1378,802,3
35,1378,736,3
36,1378,512,3
37,1379,272,2
38,1379,290,2
39,1380,272,2
40,1380,240,2
41,1381,290,2
42,1381,240,2
43,1382,568,2
44,1382,475,2
45,1383,568,2
46,1383,772,2
47,1384,733,2
48,1384,475,2
49,1385,733,2
50,1385,769,2
51,1386,565,2
52,1386,475,2
53,1387,565,2
54,1387,769,2
55,1388,883,2
56,1388,475,2
57,1389,883,2
58,1389,769,2
59,1390,733,2
60,1390,772,2
61,1391,920,2
62,1391,860,2
63,1392,1116,1
64,1393,515,2
65,1393,107,2
66,1394,515,2
67,1394,108,2
68,1395,515,2
69,1395,109,2
70,1396,1119,1
71,1397,1100,1
72,1398,1142,1
73,1399,1154,1
74,1400,1122,1
75,1401,319,3
76,1401,275,3
77,1401,404,3
78,1402,439,2
79,1402,866,2
80,1403,1052,2
81,1403,143,2
82,1404,564,2
83,1404,772,2
84,1405,45,2
85,1405,772,2
86,1406,45,3
87,1406,772,3
88,1406,565,3
89,1407,564,2
90,1407,475,2
91,1408,564,2
92,1408,769,2
93,1409,45,2
94,1409,475,2
95,1410,45,2
96,1410,769,2
97,1411,1086,1
98,1412,882,2
99,1412,1112,2
100,1413,882,2
101,1413,862,2
102,1414,931,2
103,1414,1112,2
104,1415,931,2
105,1415,862,2
106,1416,863,2
107,1416,1112,2
108,1417,863,2
109,1417,862,2
110,1418,855,2
111,1418,1112,2
112,1419,855,2
113,1419,862,2
114,1420,695,2
115,1420,1202,2
116,1421,198,2
117,1421,314,2
118,1422,753,2
119,1422,468,2
120,1423,753,2
121,1423,469,2
122,1424,753,2
123,1424,742,2
124,1425,400,1
125,1426,1088,1
126,1427,1165,1
127,1428,1143,1
128,1429,474,3
129,1429,596,3
130,1429,576,3
131,1430,1155,1
132,1431,962,2
133,1431,103,2
134,1432,1177,1
135,1433,1157,1
136,1434,1158,1
137,1435,695,2
138,1435,680,2
139,1436,541,2
140,1436,985,2
141,1437,206,3
142,1437,208,3
143,1437,207,3
144,1438,385,2
145,1438,561,2
146,1439,1354,2
147,1439,168,2
148,1440,115,2
149,1440,1065,2
150,1441,120,2
151,1441,1065,2
152,1442,115,2
153,1442,1059,2
154,1443,120,2
155,1443,1059,2
156,1444,115,2
157,1444,781,2
158,1445,120,2
159,1445,781,2
160,1446,115,2
161,1446,1006,2
162,1447,120,2
163,1447,1006,2
164,1448,115,2
165,1448,1058,2
166,1449,120,2
167,1449,1058,2
168,1450,115,2
169,1450,761,2
170,1451,120,2
171,1451,761,2
172,1452,115,2
173,1452,98,2
174,1453,120,2
175,1453,98,2
176,1454,115,2
177,1454,111,2
178,1455,120,2
179,1455,111,2
180,1456,115,2
181,1456,985,2
182,1457,120,2
183,1457,985,2
184,1458,115,2
185,1458,40,2
186,1459,120,2
187,1459,40,2
188,1460,618,2
189,1460,899,2
190,1461,89,2
191,1461,899,2
192,1462,106,2
193,1462,899,2
194,1463,1354,2
195,1463,169,2
196,1464,259,2
197,1464,333,2
198,1465,533,2
199,1465,359,2
200,1466,1146,1
201,1467,265,2
202,1467,649,2
203,1468,352,2
204,1468,1007,2
205,1469,479,2
206,1469,1007,2
207,1470,767,2
208,1470,743,2
209,1471,786,2
210,1471,576,2
211,1472,497,2
212,1472,498,2
213,1473,595,2
214,1473,947,2
215,1474,702,2
216,1474,449,2
217,1475,755,2
218,1475,353,2
219,1476,805,2
220,1476,933,2
221,1477,925,2
222,1477,1015,2
223,1478,925,2
224,1478,880,2
225,1479,925,2
226,1479,886,2
227,1480,763,2
228,1480,128,2
229,1481,197,3
