id_complex_composition,complex_multidata_id,protein_multidata_id,total_protein
230,1481,353,3
231,1481,520,3
232,1482,353,2
233,1482,520,2
234,1483,1049,2
235,1483,843,2
236,1484,877,2
237,1484,843,2
238,1485,992,2
239,1485,520,2
240,1486,877,2
241,1486,743,2
242,1487,498,2
243,1487,1005,2
244,1488,595,2
245,1488,827,2
246,1489,1049,2
247,1489,743,2
248,1490,779,2
249,1490,884,2
250,1491,840,2
251,1491,576,2
252,1492,868,2
253,1492,743,2
254,1493,533,2
255,1493,473,2
256,1494,715,2
257,1494,1007,2
258,1495,779,2
259,1495,497,2
260,1496,576,2
261,1496,947,2
262,1497,988,2
263,1497,1007,2
264,1498,763,2
265,1498,834,2
266,1499,520,2
267,1499,449,2
268,1500,533,2
269,1500,714,2
270,1501,281,2
271,1501,576,2
272,1502,378,2
273,1502,520,2
274,1503,713,2
275,1503,520,2
276,1504,246,2
277,1504,119,2
278,1505,246,2
279,1505,1055,2
280,1506,246,2
281,1506,682,2
282,1507,246,2
283,1507,380,2
284,1508,273,2
285,1508,238,2
286,1509,246,2
287,1509,464,2
288,1510,246,2
289,1510,341,2
290,1511,465,2
291,1511,341,2
292,1512,246,2
293,1512,279,2
294,1513,246,2
295,1513,444,2
296,1514,367,2
297,1514,444,2
298,1515,246,2
299,1515,768,2
300,1516,246,2
301,1516,664,2
302,1517,246,2
303,1517,771,2
304,1518,239,2
305,1518,760,2
306,1519,465,2
307,1519,572,2
308,1520,239,2
309,1520,411,2
310,1521,239,2
311,1521,317,2
312,1522,246,2
313,1522,254,2
314,1523,254,2
315,1523,238,2
316,1524,387,2
317,1524,254,2
318,1525,254,2
319,1525,391,2
320,1526,466,2
321,1526,254,2
322,1527,412,2
323,1527,239,2
324,1528,320,2
325,1528,1044,2
326,1529,1130,2
327,1529,120,2
328,1530,1121,2
329,1530,120,2
330,1531,1135,1
331,1532,1178,1
332,1533,405,3
333,1533,296,3
334,1533,1104,3
335,1534,399,2
336,1534,1099,2
337,1535,372,1
338,1536,1173,1
339,1537,1093,1
340,1538,596,2
341,1538,576,2
342,1539,1115,1
343,1540,296,3
344,1540,405,3
345,1540,1104,3
346,1541,77,2
347,1541,113,2
348,1542,1166,1
349,1543,1136,1
350,1544,812,2
351,1544,564,2
352,1545,812,2
353,1545,45,2
354,1546,812,2
355,1546,733,2
356,1547,470,2
357,1547,1039,2
358,1548,565,3
359,1548,475,3
360,1548,300,3
361,1549,565,3
362,1549,475,3
363,1549,336,3
364,1550,565,3
365,1550,769,3
366,1550,300,3
367,1551,565,3
368,1551,769,3
369,1551,336,3
370,1552,883,3
371,1552,769,3
372,1552,300,3
373,1553,883,3
374,1553,769,3
375,1553,336,3
376,1554,287,1
377,1555,946,2
378,1555,576,2
379,1556,369,2
380,1556,293,2
381,1557,358,2
382,1557,522,2
383,1558,1051,2
384,1558,561,2
385,1559,1051,3
386,1559,1024,3
387,1559,93,3
388,1560,65,2
389,1560,1051,2
390,1561,65,2
391,1561,110,2
392,1562,65,2
393,1562,657,2
394,1563,65,2
395,1563,998,2
396,1564,1144,4
397,1564,1133,4
398,1564,1101,4
399,1564,1128,4
400,1565,1098,1
401,1566,1171,1
402,1567,1111,1
403,1568,1118,1
404,1569,1087,1
405,1570,1126,1
406,1571,1163,1
407,1572,1089,1
408,1573,1096,1
409,1574,1148,2
410,1574,958,2
411,1575,1148,2
412,1575,822,2
413,1576,1148,2
414,1576,671,2
415,1577,1094,2
416,1577,958,2
417,1578,1094,2
418,1578,822,2
419,1579,1094,2
420,1579,671,2
421,1580,808,2
422,1580,107,2
423,1581,808,2
424,1581,108,2
425,1582,109,3
426,1582,808,3
427,1582,944,3
428,1583,1139,2
429,1583,1097,2
430,1584,1149,2
431,1584,1097,2
432,1585,1161,2
433,1585,1097,2
434,1586,1091,2
435,1586,1097,2
436,1587,1090,2
437,1587,1097,2
438,1588,1140,2
439,1588,1097,2
440,1589,1091,3
441,1589,1139,3
442,1589,1097,3
443,1590,1090,3
444,1590,1149,3
445,1590,1097,3
446,1591,1140,3
447,1591,1161,3
448,1591,1097,3
449,1592,263,2
450,1592,681,2
451,1593,263,2
452,1593,52,2
453,1594,263,2
454,1594,105,2
455,1595,263,2
456,1595,976,2
457,1596,1160,1
458,1597,46,2
459,1597,93,2
460,1598,559,2
461,1598,665,2
462,1599,1123,1
463,1600,1138,1
464,1601,1170,1
465,1602,566,2
466,1602,569,2
467,1603,569,2
468,1603,733,2
469,1604,566,2
470,1604,475,2
471,1605,566,2
472,1605,769,2
473,1606,566,2
474,1606,772,2
475,1607,1132,1
476,1608,865,2
477,1608,938,2
478,1609,1354,2
479,1609,167,2
480,1610,1024,2
481,1610,93,2
482,1611,672,2
483,1611,174,2
484,1612,378,2
485,1612,996,2
486,1613,379,2
487,1613,631,2
488,1614,357,2
489,1614,571,2
490,1615,743,2
491,1615,868,2
492,1616,1342,2
493,1616,1322,2
494,1617,1342,2
495,1617,1352,2
496,1618,1342,2
497,1618,1353,2
498,1619,1343,2
499,1619,1322,2
500,1620,1343,2
501,1620,1352,2
502,1621,1343,2
503,1621,1353,2
504,1622,614,5
505,1622,129,5
506,1622,903,5
507,1622,853,5
508,1622,32,5
509,1623,1299,2
510,1623,1110,2
511,1624,1345,2
512,1624,1110,2
513,1625,1318,2
514,1625,1110,2
515,1626,1311,2
516,1626,1179,2
517,1627,1312,2
518,1627,1179,2
519,1628,1313,2
520,1628,1179,2
521,1629,1314,2
522,1629,1179,2
523,1630,1177,2
524,1630,1352,2
525,1631,1177,2
526,1631,1353,2
527,1632,1160,1
528,1633,164,1
529,1634,1160,2
530,1634,1321,2
531,1635,1160,2
532,1635,1352,2
533,1636,1160,2
534,1636,1353,2
535,1637,1350,2
536,1637,1216,2
537,1638,1319,2
538,1638,1216,2
539,1639,1315,2
540,1639,1216,2
541,1640,1316,2
542,1640,1216,2
543,1641,1317,2
544,1641,1216,2
545,1642,1324,2
546,1642,1216,2
547,1643,1325,2
548,1643,1216,2
549,1644,1350,2
550,1644,1217,2
551,1645,1319,2
552,1645,1217,2
553,1646,1315,2
554,1646,1217,2
555,1647,1316,2
556,1647,1217,2
557,1648,1317,2
558,1648,1217,2
559,1649,1324,2
560,1649,1217,2
561,1650,1325,2
562,1650,1217,2
563,1651,1231,2
564,1651,1237,2
565,1652,1231,3
566,1652,1237,3
567,1652,1241,3
568,1653,1231,3
569,1653,1237,3
570,1653,1239,3
571,1654,1231,2
572,1654,1238,2
573,1655,1231,3
574,1655,1238,3
575,1655,1241,3
576,1656,1232,3
577,1656,1238,3
578,1656,1241,3
579,1657,1233,3
580,1657,1238,3
581,1657,1241,3
582,1658,1233,3
583,1658,1238,3
584,1658,1240,3
585,1659,1233,3
586,1659,1238,3
587,1659,1242,3
588,1660,1234,3
589,1660,1237,3
590,1660,1239,3
591,1661,1234,3
592,1661,1238,3
593,1661,1241,3
594,1662,1234,3
595,1662,1238,3
596,1662,1239,3
597,1663,1235,3
598,1663,1238,3
599,1663,1241,3
600,1664,1236,3
601,1664,1238,3
602,1664,1241,3
603,1665,1236,3
604,1665,1238,3
605,1665,1239,3
606,1666,1348,2
607,1666,1245,2
608,1667,1347,2
609,1667,1245,2
610,1668,1349,2
611,1668,1245,2
612,1669,1220,2
613,1669,1245,2
614,1670,1219,2
615,1670,1245,2
616,1671,1218,2
617,1671,1245,2
618,1672,1221,2
619,1672,1245,2
620,1673,1222,2
621,1673,1245,2
622,1674,1348,2
623,1674,1246,2
624,1675,1347,2
625,1675,1246,2
626,1676,1349,2
627,1676,1246,2
628,1677,1220,2
629,1677,1246,2
630,1678,1219,2
631,1678,1246,2
632,1679,1218,2
633,1679,1246,2
634,1680,1221,2
635,1680,1246,2
636,1681,1222,2
637,1681,1246,2
638,1682,1255,2
639,1682,1258,2
640,1683,1255,2
641,1683,1259,2
642,1684,1256,2
643,1684,1258,2
644,1685,1256,2
645,1685,1259,2
646,1686,1257,2
647,1686,1258,2
648,1687,1257,2
649,1687,1259,2
650,1688,1290,2
651,1688,1131,2
652,1689,1290,2
653,1689,1164,2
654,1690,1290,2
655,1690,1153,2
656,1691,1290,2
657,1691,1092,2
658,1692,1323,2
659,1692,1247,2
660,1693,1326,2
661,1693,1247,2
662,1694,1323,2
663,1694,1248,2
664,1695,1326,2
665,1695,1248,2
666,1696,1243,2
667,1696,1244,2
668,1697,1114,1
669,1698,1104,1
670,1699,399,1
671,1700,209,4
672,1700,1180,4
673,1700,1181,4
674,1700,1183,4
675,1701,209,4
676,1701,1180,4
677,1701,1181,4
678,1701,1182,4
679,1702,562,1
680,1703,287,2
681,1703,1320,2
682,1704,287,2
683,1704,1352,2
684,1705,287,2
685,1705,1353,2
686,1706,1296,2
687,1706,1201,2
688,1707,1307,1
689,1708,1338,2
690,1708,1226,2
691,1709,1338,2
692,1709,1228,2
693,1710,1339,2
694,1710,1226,2
695,1711,1339,2
696,1711,1228,2
697,1712,1340,2
698,1712,1226,2
699,1713,1340,2
700,1713,1228,2
701,1714,1205,2
702,1714,1354,2
703,1715,1206,2
704,1715,1354,2
705,1716,1207,2
706,1716,1354,2
707,1717,1208,2
708,1717,1354,2
