"interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","annotation","interaction_name_2","id_cp_interaction","annotation_strategy","source","is_ppi","curator","reactome_complex","reactome_reaction","reactome_pathway","complexPortal_complex","comments","version","modulatory_effect"
"CDH1-ITGA2+ITGB1","Cadherin","CDH1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","CDH1-ITGA2+ITGB1",NA,"curated","PMID:12392763","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CDH1-ITGAE+ITGB7","Cadherin","CDH1","integrin_aEb7_complex","","","","","Adhesion-Adhesion","CDH1-ITGAE+ITGB7",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CDH1-KLRG1","Cadherin","CDH1","KLRG1","","","","","Ligand-Receptor","CDH1-KLRG1",NA,"curated","PMC3030123","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CDH2-CDH2","Cadherin","CDH2","CDH2","","","","","Adhesion-Adhesion","CDH2-CDH2",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CDH2-FCER2","Cadherin","CDH2","FCER2","","","","","Ligand-Receptor","CDH2-FCER2",NA,"curated","Shilts screen - VALIDATED","True","JShilts","","","",NA,"","CellPhoneDBcore4.1",""
"CDH3-CDH3","Cadherin","CDH3","CDH3","","","","","Adhesion-Adhesion","CDH3-CDH3",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CDH5-CDH5","Cadherin","CDH5","CDH5","","","","","Adhesion-Adhesion","CDH5-CDH5",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CDH6-CDH6","Cadherin","CDH6","CDH6","","","","","Adhesion-Adhesion","CDH6-CDH6",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CDH7-CDH7","Cadherin","CDH7","CDH7","","","","","Adhesion-Adhesion","CDH7-CDH7",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CADM1-CADM1","CADM","CADM1","CADM1","","","","","Adhesion-Adhesion","CADM1-CADM1",NA,"curated","PMID:24503895","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CADM1-NECTIN3","CADM","CADM1","NECTIN3","","","","","Adhesion-Adhesion","CADM1-NECTIN3",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CADM3-CADM1","CADM","CADM3","CADM1","","","","","Adhesion-Adhesion","CADM3-CADM1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CADM3-CADM4","CADM","CADM3","CADM4","","","","","Adhesion-Adhesion","CADM3-CADM4",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CADM3-EPB41L1","CADM","CADM3","EPB41L1","","","","","Adhesion-Adhesion","CADM3-EPB41L1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CADM3-NECTIN3","CADM","CADM3","NECTIN3","","","","","Adhesion-Adhesion","CADM3-NECTIN3",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CEACAM1-CD209","CEAM","CEACAM1","CD209","","","","","Adhesion-Adhesion","CEACAM1-CD209",NA,"curated","PMID:16282604;PMID:16246332","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CEACAM1-CEACAM6","CEAM","CEACAM1","CEACAM6","","","","","Adhesion-Adhesion","CEACAM1-CEACAM6",NA,"curated","PMID:21982860","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CEACAM1-CEACAM8","CEAM","CEACAM1","CEACAM8","","","","","Adhesion-Adhesion","CEACAM1-CEACAM8",NA,"curated","PMID:24743304","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CEACAM1-SELE","CEAM","CEACAM1","SELE","","","","","Adhesion-Adhesion","CEACAM1-SELE",NA,"curated","PMID:1378450","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CEACAM5-CD1D","CEAM","CEACAM5","CD1D","","","","","Adhesion-Adhesion","CEACAM5-CD1D",NA,"curated","PMID:24104458","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CEACAM5-CD8A","CEAM","CEACAM5","CD8A","","","","","Adhesion-Adhesion","CEACAM5-CD8A",NA,"curated","PMID:24104458","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CEACAM5-CEACAM1","CEAM","CEACAM5","CEACAM1","","","","","Adhesion-Adhesion","CEACAM5-CEACAM1",NA,"curated","Induces_NK_Cell_Inhibition._Reviewed_in_PMID:24987108","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CEACAM5-CEACAM6","CEAM","CEACAM5","CEACAM6","","","","","Adhesion-Adhesion","CEACAM5-CEACAM6",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CEACAM6-CEACAM6","CEAM","CEACAM6","CEACAM6","","","","","Adhesion-Adhesion","CEACAM6-CEACAM6",NA,"curated","PMID:11590190","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CEACAM8-CEACAM6","CEAM","CEACAM8","CEACAM6","","","","","Adhesion-Adhesion","CEACAM8-CEACAM6",NA,"curated","PMID:11590190","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL10A1-ITGA1+ITGB1","Collagen/Integrin","COL10A1","integrin_a1b1_complex","","","","","Ligand-Receptor","COL10A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL10A1-ITGA10+ITGB1","Collagen/Integrin","COL10A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL10A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL10A1-ITGA11+ITGB1","Collagen/Integrin","COL10A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL10A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL10A1-ITGA2+ITGB1","Collagen/Integrin","COL10A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL10A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL11A1-ITGA1+ITGB1","Collagen/Integrin","COL11A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL11A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL11A1-ITGA10+ITGB1","Collagen/Integrin","COL11A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL11A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL11A1-ITGA11+ITGB1","Collagen/Integrin","COL11A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL11A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL11A1-ITGA2+ITGB1","Collagen/Integrin","COL11A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL11A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL11A2-ITGA1+ITGB1","Collagen/Integrin","COL11A2","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL11A2-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL11A2-ITGA10+ITGB1","Collagen/Integrin","COL11A2","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL11A2-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL11A2-ITGA11+ITGB1","Collagen/Integrin","COL11A2","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL11A2-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL11A2-ITGA2+ITGB1","Collagen/Integrin","COL11A2","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL11A2-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL12A1-ITGA1+ITGB1","Collagen/Integrin","COL12A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL12A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL12A1-ITGA10+ITGB1","Collagen/Integrin","COL12A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL12A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL12A1-ITGA11+ITGB1","Collagen/Integrin","COL12A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL12A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL12A1-ITGA2+ITGB1","Collagen/Integrin","COL12A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL12A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL13A1-ITGA1+ITGB1","Collagen/Integrin","COL13A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL13A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL13A1-ITGA10+ITGB1","Collagen/Integrin","COL13A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL13A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL13A1-ITGA11+ITGB1","Collagen/Integrin","COL13A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL13A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL13A1-ITGA2+ITGB1","Collagen/Integrin","COL13A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL13A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL14A1-ITGA1+ITGB1","Collagen/Integrin","COL14A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL14A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL14A1-ITGA10+ITGB1","Collagen/Integrin","COL14A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL14A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL14A1-ITGA11+ITGB1","Collagen/Integrin","COL14A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL14A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL14A1-ITGA2+ITGB1","Collagen/Integrin","COL14A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL14A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL15A1-ITGA1+ITGB1","Collagen/Integrin","COL15A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL15A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL15A1-ITGA10+ITGB1","Collagen/Integrin","COL15A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL15A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL15A1-ITGA11+ITGB1","Collagen/Integrin","COL15A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL15A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL15A1-ITGA2+ITGB1","Collagen/Integrin","COL15A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL15A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL16A1-ITGA1+ITGB1","Collagen/Integrin","COL16A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL16A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL16A1-ITGA10+ITGB1","Collagen/Integrin","COL16A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL16A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL16A1-ITGA11+ITGB1","Collagen/Integrin","COL16A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL16A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL16A1-ITGA2+ITGB1","Collagen/Integrin","COL16A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL16A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL17A1-ITGA1+ITGB1","Collagen/Integrin","COL17A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL17A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL17A1-ITGA10+ITGB1","Collagen/Integrin","COL17A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL17A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL17A1-ITGA11+ITGB1","Collagen/Integrin","COL17A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL17A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL17A1-ITGA2+ITGB1","Collagen/Integrin","COL17A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL17A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL18A1-ITGA1+ITGB1","Collagen/Integrin","COL18A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL18A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL18A1-ITGA10+ITGB1","Collagen/Integrin","COL18A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL18A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL18A1-ITGA11+ITGB1","Collagen/Integrin","COL18A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL18A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL18A1-ITGA2+ITGB1","Collagen/Integrin","COL18A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL18A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL19A1-ITGA1+ITGB1","Collagen/Integrin","COL19A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL19A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL19A1-ITGA10+ITGB1","Collagen/Integrin","COL19A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL19A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL19A1-ITGA11+ITGB1","Collagen/Integrin","COL19A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL19A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL19A1-ITGA2+ITGB1","Collagen/Integrin","COL19A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL19A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL1A1-ITGA1+ITGB1","Collagen/Integrin","COL1A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL1A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL1A1-ITGA10+ITGB1","Collagen/Integrin","COL1A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL1A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL1A1-ITGA11+ITGB1","Collagen/Integrin","COL1A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL1A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL1A1-ITGA2+ITGB1","Collagen/Integrin","COL1A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL1A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL1A2-ITGA1+ITGB1","Collagen/Integrin","COL1A2","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL1A2-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL1A2-ITGA10+ITGB1","Collagen/Integrin","COL1A2","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL1A2-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL1A2-ITGA11+ITGB1","Collagen/Integrin","COL1A2","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL1A2-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL1A2-ITGA2+ITGB1","Collagen/Integrin","COL1A2","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL1A2-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL20A1-ITGA1+ITGB1","Collagen/Integrin","COL20A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL20A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL20A1-ITGA10+ITGB1","Collagen/Integrin","COL20A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL20A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL20A1-ITGA11+ITGB1","Collagen/Integrin","COL20A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL20A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL20A1-ITGA2+ITGB1","Collagen/Integrin","COL20A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL20A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL21A1-ITGA1+ITGB1","Collagen/Integrin","COL21A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL21A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL21A1-ITGA10+ITGB1","Collagen/Integrin","COL21A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL21A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL21A1-ITGA11+ITGB1","Collagen/Integrin","COL21A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL21A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL21A1-ITGA2+ITGB1","Collagen/Integrin","COL21A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL21A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL22A1-ITGA1+ITGB1","Collagen/Integrin","COL22A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL22A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL22A1-ITGA10+ITGB1","Collagen/Integrin","COL22A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL22A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL22A1-ITGA11+ITGB1","Collagen/Integrin","COL22A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL22A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL22A1-ITGA2+ITGB1","Collagen/Integrin","COL22A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL22A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL24A1-ITGA1+ITGB1","Collagen/Integrin","COL24A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL24A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL24A1-ITGA10+ITGB1","Collagen/Integrin","COL24A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL24A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL24A1-ITGA11+ITGB1","Collagen/Integrin","COL24A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL24A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL24A1-ITGA2+ITGB1","Collagen/Integrin","COL24A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL24A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL26A1-ITGA1+ITGB1","Collagen/Integrin","COL26A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL26A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL26A1-ITGA10+ITGB1","Collagen/Integrin","COL26A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL26A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL26A1-ITGA11+ITGB1","Collagen/Integrin","COL26A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL26A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL26A1-ITGA2+ITGB1","Collagen/Integrin","COL26A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL26A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL27A1-ITGA1+ITGB1","Collagen/Integrin","COL27A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL27A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL27A1-ITGA10+ITGB1","Collagen/Integrin","COL27A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL27A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL27A1-ITGA11+ITGB1","Collagen/Integrin","COL27A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL27A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL27A1-ITGA2+ITGB1","Collagen/Integrin","COL27A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL27A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL28A1-ITGA1+ITGB1","Collagen/Integrin","COL28A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL28A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL28A1-ITGA10+ITGB1","Collagen/Integrin","COL28A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL28A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL28A1-ITGA11+ITGB1","Collagen/Integrin","COL28A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL28A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL28A1-ITGA2+ITGB1","Collagen/Integrin","COL28A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL28A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL2A1-ITGA1+ITGB1","Collagen/Integrin","COL2A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL2A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL2A1-ITGA10+ITGB1","Collagen/Integrin","COL2A1","integrin_a10b1_complex","","","","","Adhesion-Adhesion","COL2A1-ITGA10+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL2A1-ITGA11+ITGB1","Collagen/Integrin","COL2A1","integrin_a11b1_complex","","","","","Adhesion-Adhesion","COL2A1-ITGA11+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL2A1-ITGA2+ITGB1","Collagen/Integrin","COL2A1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","COL2A1-ITGA2+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"COL3A1-ADGRG1","Collagen/Integrin","COL3A1","ADGRG1","","","","","Adhesion-Adhesion","COL3A1-ADGRG1",NA,"curated","uniprot;reactome;IUPHAR","True","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"COL3A1-ITGA1+ITGB1","Collagen/Integrin","COL3A1","integrin_a1b1_complex","","","","","Adhesion-Adhesion","COL3A1-ITGA1+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
